"SITE_ID","FW_ECO9","NTL_RESULT","PTL_RESULT"
"NLA12_FL-107","CPL",0.546,9
"NLA12_FL-110","CPL",0.494,23
"NLA12_FL-106","CPL",0.519,46
"NLA12_FL-104","CPL",0.82,25
"NLA12_CA-168","XER",2.38,434
"NLA12_OK-122","SPL",1.05,67
"NLA12_WI-R11","UMW",0.92,36
"NLA12_KS-114","TPL",0.588,46
"NLA12_OK-R01","SPL",0.594,28
"NLA12_CA-106","XER",3.83,591
"NLA12_FL-114","CPL",0.761,20
"NLA12_PA-102","SAP",2.08,83
"NLA12_WI-R08","UMW",0.37,24
"NLA12_AL-105","CPL",1.85,106
"NLA12_OK-118","SPL",1.71,190
"NLA12_CA-172","XER",0.265,14.8
"NLA12_AZ-127","WMT",0.554,147
"NLA12_KY-101","SAP",0.136,16
"NLA12_KY-107","SAP",0.823,50
"NLA12_NC-107","CPL",0.658,26
"NLA12_GA-101","CPL",1.033,112
"NLA12_AL-101","SAP",0.505,30
"NLA12_OK-R09","SPL",0.838,46
"NLA12_KY-103","SAP",0.166,22
"NLA12_OK-293","SPL",2.8,834
"NLA12_NM-132","WMT",1.231,231
"NLA12_SC-104","SAP",1.204,71
"NLA12_SC-105","CPL",0.838,61
"NLA12_SC-112","CPL",0.3,12
"NLA12_SC-108","CPL",0.498,32
"NLA12_NM-152","SPL",1.511,256
"NLA12_CO-110","SPL",0.824,43
"NLA12_ND-101","TPL",1.553,414
"NLA12_KY-104","CPL",2.498,483
"NLA12_KS-130","TPL",0.968,45
"NLA12_PA-108","CPL",0.52,16
"NLA12_NC-105","SAP",0.041,15
"NLA12_NM-105","SPL",1.348,77
"NLA12_SD-101","NPL",0.348,27
"NLA12_NM-104","XER",0.18,30
"NLA12_KY-120","CPL",1.254,158
"NLA12_KY-122","SAP",1.03,95
"NLA12_TN-114","CPL",1.923,50
"NLA12_TN-101","SAP",0.991,129
"NLA12_TN-113","CPL",1.099,120
"NLA12_TN-108","SAP",1.794,628
"NLA12_KY-102","TPL",0.379,25
"NLA12_SC-106","SAP",0.238,37
"NLA12_NC-109","SAP",0.115,12
"NLA12_NC-101","SAP",0.291,38
"NLA12_NC-108","SAP",0.094,26
"NLA12_SD-138","TPL",0.779,49
"NLA12_NM-117","WMT",1.129,25
"NLA12_KS-108","TPL",1.194,261
"NLA12_KY-114","SAP",1.373,25
"NLA12_NM-133","WMT",1.503,52
"NLA12_MS-107","CPL",0.554,212
"NLA12_MS-106","CPL",0.439,33
"NLA12_IA-107","TPL",4.738,493
"NLA12_SD-130","TPL",1.951,126
"NLA12_KS-109","TPL",0.628,47
"NLA12_SD-182","TPL",0.913,35
"NLA12_VA-109","SAP",0.53,63
"NLA12_MT-113","NPL",0.098,17
"NLA12_KY-117","SAP",0.775,75
"NLA12_KS-103","TPL",0.504,28
"NLA12_VA-116","SAP",0.184,37
"NLA12_SD-166","TPL",1.105,71
"NLA12_SC-103","SAP",0.053,22
"NLA12_SD-104","TPL",1.329,119
